Year,0305,0307,0308,0309,0311,0317,0321,0322,0430,0434,0438,0440,0442,0444,0446,0450,0450CC,0470,0474,0478,0484,0484A,0486,0498,0631,0632,3106,A315,A319,A320,A432,A438,A456,A499,A617,A620,A630,A631,A670,A680,A685,A687,A690,AMES_1,B319,B484,B499,BB470,BSE_1MUDMTNRD,C320,C370,C446,C484,CHERRY_1,D320,D444,D474,F321,G320,GRIFFIN,HARRIS_1,J370,J484,KSHZ06,KTHA01,KTHA02,KTHA03,LSIN1,LSIN9,N484,NFK_SNQ,PATTER_3,RAGING_MTH,S478,S484,SFK_SNQ,SNQDUVALL,TOLT_MTH,VA12A,VA23A,VA37A,VA41A,VA42A,VA45A,VA65A
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,2.723368685833155,2.943052015725078,NA,4.0943445622221,3.7612001156935624,4.935902307362609,3.650573902928016,4.42904211109958,5.926125385286924,6.346587322582898,NA,5.104490228635459,4.48113662838035,5.2335437126480695,6.092256263488643,5.479770113392721,NA,4.980260263717763,4.780449023540372,5.522135207710557,4.891814083905032,NA,3.1780538303479458,5.579551795006951,4.08622340917139,4.454347296253507,3.6622449896742664,5.791691964309395,3.2188758248682006,3.881085303569102,5.885718080060864,3.6221137578016753,4.904588436532443,4.003183783825123,4.518191826420551,5.448534371376741,5.272670719354261,3.258096538021482,NA,4.051747139190485,3.4077430364402828,NA,2.9994682809733417,NA,2.094827371013213,3.9614929793555977,NA,4.51085950651685,NA,3.8066624897703196,5.560681631015528,NA,4.497800398243328,NA,3.4011973816621555,5.438079308923196,4.941642422609304,1.9459101490553132,4.941642422609304,NA,NA,NA,NA,5.514671966923137,NA,5.5650999219157775,4.910052971798539,NA,NA,4.681101360642714,NA,NA,NA,NA,3.7695135279119976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,3.014972533838023,3.1660515255513557,NA,4.127134385045092,3.871201010907891,5.4767018340999565,4.440918152502073,5.320663256831708,6.327936783729195,6.5837169356622525,NA,4.780355424872765,4.699436594384708,5.733795153759845,6.314245746215182,4.31526093836162,NA,5.19295685089021,4.849200335950918,5.5922106989990965,5.345858807171383,NA,3.7708415499410552,5.247024072160486,5.161098943697157,3.973192116813326,4.0943445622221,6.229510949122446,3.295836866004329,4.305341767251788,5.657191456806868,4.205916337879206,5.658646135308026,4.30715995107348,4.895090614636842,5.63072557676565,5.099356221848464,3.9512437185814275,NA,5.191411254605374,4.1059163207099285,NA,3.624252036185305,NA,2.70805020110221,3.508753071470628,NA,4.386769691779083,NA,2.833213344056216,6.0602573785842635,NA,4.623445623937606,NA,3.6888794541139363,4.941642422609304,4.696580839468339,1.9459101490553132,5.135798437050262,NA,NA,NA,NA,5.8289456176102075,5.245637108719123,6.00197823070402,4.050838873727286,NA,NA,4.558014846252471,NA,NA,NA,NA,3.1234549289673867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,2.7838077884518553,3.0038974691138782,NA,3.8712010109078907,3.7012257604091223,6.073301718381075,4.885752389809447,5.105486126142044,5.751468171806199,6.203845736969869,NA,5.560681631015528,4.703775270631944,5.665674869911502,5.887604906584041,4.696330964385069,NA,5.245637108719123,5.3471075307174685,5.299134778764943,5.135798437050262,NA,3.4166141787614164,5.769538728352421,5.1046195741479226,4.538975591965219,4.00914806925776,5.578125260515748,3.8492413939404733,4.022794140401764,5.779052766913487,3.367295829986474,6.020660180938682,4.768381136371946,5.4960247526753685,6.5938994571531975,5.631461636201513,4.4935984103309865,NA,5.130580998403972,3.411372656243084,NA,3.50605764715319,NA,1.9356005054539454,4.419638345292675,NA,4.620919519517777,NA,3.396978652355944,5.634789603169249,NA,4.7363523182218366,NA,3.525927811477947,5.342551690541841,5.322712448632752,1.3195286648076292,4.389778727941864,NA,NA,NA,NA,5.458452497570503,4.7363523182218366,5.231551670235775,3.7090295152461032,NA,NA,4.093092997113041,NA,NA,NA,NA,2.4849066497880004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,3.021867318372472,3.1922208310905287,NA,3.8492413939404733,3.7477709719421277,5.996749022782598,4.102609213197706,5.035640519616199,5.783706825127149,6.1941971011620645,NA,4.680241515202951,4.904588436532443,5.679887142738027,6.040941967154785,4.605170185988092,NA,4.939084872275918,5.008408118921565,5.35643608623381,4.568884839570674,NA,3.436581917106259,5.042904554665041,4.426832714018726,4.365183605846479,4.0943445622221,5.773560505098379,2.858513850703111,3.992595466214196,5.779762220139627,3.6375861597263857,5.517444832013615,3.6888794541139363,4.971354132844704,5.658381961110411,4.40065947383262,3.968687348081648,NA,4.187776133794106,3.6411498531090682,NA,3.332204510175204,NA,1.6094379124341003,3.996134321635372,NA,4.499809670330265,NA,3.76692834240027,5.438079308923196,NA,4.412338945582099,NA,3.7256208424938384,5.751437564558364,4.971354132844704,1.565849565647906,5.247024072160486,NA,NA,NA,NA,5.245637108719123,NA,5.161098943697157,4.033260745234998,NA,NA,4.652825275890255,NA,NA,NA,4.615071499636182,3.284740710207148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,2.9906815967246114,3.1766119633553305,NA,4.4935984103309865,3.912023005428146,5.481709640312752,4.584759188727963,4.860644732131299,5.518250633960785,6.1828186076007565,NA,5.149221488516128,4.176159274113002,5.042904554665041,5.319632338076072,3.901921651769386,NA,4.835917249318561,4.448611067168762,4.726250964563077,4.461329149762201,NA,2.6155543084272934,4.707499605344005,4.335864661316268,4.048256458750796,4.076962566003931,6.023552543859386,3.648545502580209,4.217677160350459,5.3155180799067026,3.1312043108584433,4.73960911881223,3.244738698527243,4.47093390585353,4.477707275813238,4.649175624649448,4.159371126346199,NA,3.6310540193600183,3.038294517443912,NA,3.059392828147386,NA,2.282174095733918,4.194679909953177,NA,4.267375671100166,NA,3.8461824068197674,4.795072866651885,NA,4.503499723979076,NA,3.546702312934383,5.0943332473848955,4.793016660875338,2.4495317592195756,4.563479381518566,NA,NA,NA,NA,4.784007408123999,NA,4.502272729498293,3.982772786564996,NA,NA,4.476796222907624,NA,NA,NA,3.8648170295419937,2.6390573296152584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,3.713572066704308,3.044522437723423,5.415853427637779,4.329519957822237,3.816714617827518,5.913137642085294,6.449859850565884,NA,4.973752218976451,5.285658462555892,5.247024072160486,5.55403091542237,4.474487803920888,NA,5.229708155122596,4.510799123689653,4.784007408123999,4.696330964385069,NA,2.652634409566266,5.008408118921565,4.73827170637542,4.52214289382305,3.2188758248682006,4.4206536057527455,2.772588722239781,3.7455437967674383,5.895278600784254,2.995732273553991,5.245637108719123,3.496048213707944,4.847924093878941,4.835645500095933,4.461329149762201,3.828641396489095,NA,4.133596092966073,3.6888794541139363,NA,3.9318256327243257,NA,2.0794415416798357,4.605170185988092,NA,4.694661513752312,NA,4.143134726391533,5.075173815233827,NA,4.670684317191293,NA,3.332204510175204,4.290459441148391,4.3974124640072585,1.9459101490553132,4.787491742782046,NA,NA,NA,NA,4.97613885835278,NA,5.247024072160486,3.713572066704308,NA,NA,3.9318256327243257,NA,NA,NA,3.8918202981106265,3.3485171238332425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,3.7087902012072718,3.8393944990995768,5.368198337735616,4.18619882233976,4.262580680532707,5.8289456176102075,6.271272441075693,NA,4.104994110702479,3.7710847566137202,4.426832714018726,5.42332581438281,4.552489928159178,NA,4.931332779007937,4.9034446575315,5.2647129917013125,4.821061394200861,NA,3.1629394917811755,4.9922734886371725,4.563656539905571,3.7695135279119976,4.021349748448818,4.491085826367611,3.3241026994365095,4.131279486505329,5.728383233428783,3.1967953769753157,5.35856814545178,3.4175922930736506,4.260160131611832,4.744873972801075,4.280126340438342,4.17141990213573,NA,3.8264378817160964,3.463605882865718,NA,3.695904811641655,NA,1.791759469228055,4.381323014825141,NA,5.135798437050262,NA,3.7315034668463865,4.477078483291886,NA,5.161098943697157,NA,3.1815140517702325,5.2213461716057115,4.887827090513122,1.2263186946096074,4.53713925260411,NA,NA,NA,NA,5.37025413413288,NA,5.191411254605374,4.712465594669461,NA,NA,4.326997116454191,NA,NA,NA,4.1525079975509005,2.8868317229218903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,3.8066624897703196,2.9444389791664403,5.370367538534915,3.6888794541139363,4.003183783825123,6.376950804975506,6.377549355717473,NA,5.038720429829783,4.700480365792417,5.211140672975647,6.01529489964472,4.939084872275918,NA,5.854246124257102,5.186488638361585,4.840172000610959,4.797697241412109,NA,2.3937458713910233,4.351421269151433,4.585799771829876,3.58351893845611,3.3667009459186796,5.651102216827288,3.4657359027997265,4.037480179557929,5.400333839000092,3.4657359027997265,4.440918152502073,3.8487248720095457,4.212100162283536,5.284807694190128,4.235469903449388,4.189654742026425,NA,4.533249667875147,4.614975364276412,NA,4.0943445622221,NA,2.302585092994046,4.1588830833596715,NA,5.128136201407689,NA,4.060443010546419,4.784007408123999,NA,5.075173815233827,NA,3.5263605246161616,5.521460917862246,5.042904554665041,1.7776740307447068,4.477336814478207,NA,NA,NA,NA,5.8289456176102075,NA,5.560681631015528,4.941642422609304,NA,NA,4.941642422609304,NA,NA,NA,4.440918152502073,3.258096538021482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,3.496048213707944,3.218075184184714,5.437133234847176,4.143134726391533,4.3160638647541685,5.746361378826354,6.281173754723783,NA,4.926097129074289,4.050838873727286,5.424324258864284,5.8028513567186515,4.5656485823178645,NA,5.826808300060927,4.899433614731759,4.503432132662796,4.773406304298698,NA,2.5649493574615367,4.626402488684418,4.802357242775425,3.5537127370553523,3.4657359027997265,4.473837608495873,2.884160497896886,3.859342747599233,5.042904554665041,3.545038417888046,4.5909704487272425,3.6614257376121344,4.148699200412944,5.141123485803471,3.6965723687806245,3.433466642230941,NA,4.189195394267889,3.710065249508482,NA,3.9420999668380197,NA,2.0126758453675744,3.431901695726477,NA,4.605669936154634,NA,3.329646959841819,4.252560305090984,NA,4.23224046628164,NA,3.3239085246694664,5.570930891789699,4.1187396443068165,1.7005986908310775,3.8056738587018106,NA,NA,NA,NA,4.946718608341314,NA,4.08594100306391,4.136923466392254,NA,NA,4.316152999258371,NA,NA,NA,4.637126848859918,3.2188758248682006,NA,NA,NA,3.4331887100177685,NA,3.044522437723423,4.382651244374097,4.40065947383262,3.184057549398914,3.258096538021482
2008,NA,NA,NA,3.63965941770731,3.321894866573836,4.588908590135311,4.033786859835135,4.3312524612881464,5.842598342955341,5.624479959567882,NA,4.3039737773423505,3.58351893845611,4.278206952284759,5.709361241394533,4.97613885835278,NA,5.293292198621286,4.3974124640072585,4.743986054287231,4.15582197425149,NA,2.5649493574615367,4.313472027687679,4.062815494238532,3.5573847241832315,3.394485871496085,3.9384889256094953,3.0433873634561532,3.7250397849037493,4.819761003350831,2.6390573296152584,3.6888794541139363,3.2307340881768587,4.366152285516591,6.203641768323786,4.218533573468476,4.07753744390572,NA,3.735130330121729,2.623512036080243,NA,3.713572066704308,NA,1.791759469228055,3.7939086099967136,NA,4.2039622019263,NA,3.75796047006017,4.47036391141617,NA,4.389008904849068,NA,3.2384861814448413,3.911822965417476,4.4947845024035145,1.6094379124341003,3.620324847127733,NA,NA,NA,NA,4.709489618543755,NA,4.269672998028685,4.085039134100322,NA,NA,3.827695322413076,NA,NA,NA,3.997821802143636,2.7917481543908496,NA,NA,NA,3.4657359027997265,NA,NA,4.467293435194838,5.479770113392721,2.780340815507764,2.9485769338183703
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5263605246161616,NA,NA,5.560681631015528,5.0106352940962555,5.0106352940962555,3.4011973816621555
